,Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
16925,5,0.35,2,10000,2,0.25,10000-0,8.698167151381424,377,Bernoulli,Reg,10.058579943154824,1.360412791773399,1.8507229640206933,0.1564022360224868
16926,6,0.35,2,10000,2,0.25,10000-0,8.698167151381424,377,Bernoulli,VIM,9.85928003325814,1.161112881876715,1.3481831244600502,0.1334893732977193
16927,7,0.35,2,10000,2,0.25,10000-0,8.698167151381424,377,Bernoulli,SNIPE(2),10.473779090658422,1.7756119392769971,3.1527977589030187,0.2041363322151148
16928,8,0.35,2,10000,2,0.25,10000-0,8.698167151381424,377,Bernoulli,Lin's,3.6954592782659694,-5.002707873115454,25.027086063731343,-0.5751450605684134
16929,9,0.35,2,10000,2,0.25,10000-0,8.698167151381424,377,Bernoulli,DM,3.6636731262240887,-5.034494025157336,25.34613008934492,-0.5787994111331568
16930,10,0.35,2,10000,2,0.5,10000-0,8.698167151381424,377,Bernoulli,Reg,10.058579943154824,1.3604127917734008,1.8507229640206984,0.1564022360224869
16931,11,0.35,2,10000,2,0.5,10000-0,8.698167151381424,377,Bernoulli,VIM,9.83865115277565,1.140484001394226,1.3007037574361846,0.1311177379723148
16932,12,0.35,2,10000,2,0.5,10000-0,8.698167151381424,377,Bernoulli,SNIPE(2),10.512032511288217,1.8138653599067904,3.2901075438697904,0.2085342036245781
16933,13,0.35,2,10000,2,0.5,10000-0,8.698167151381424,377,Bernoulli,Lin's,3.695459278265972,-5.002707873115453,25.02708606373134,-0.5751450605684133
16934,14,0.35,2,10000,2,0.5,10000-0,8.698167151381424,377,Bernoulli,DM,3.6534193349710233,-5.044747816410402,25.44948053117752,-0.5799782561788555
16935,15,0.35,2,10000,2,0.75,10000-0,8.698167151381424,377,Bernoulli,Reg,10.058579943154824,1.360412791773399,1.8507229640206933,0.1564022360224868
