Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
39,0.35,2.0,10000,2,1,10000-0,11.942614764512316,5,Bernoulli,DM,4.615066079662164,-7.327548684850154,53.692969728849214,-0.613563179365384
40,0.35,3.0,10000,2,1,10000-0,15.927483466689488,5,Bernoulli,Reg,12.332102077752136,-3.595381388937352,12.92676733191708,-0.2257344291994828
41,0.35,3.0,10000,2,1,10000-0,15.927483466689488,5,Bernoulli,VIM,12.666837817727734,-3.260645648961754,10.631810048093218,-0.2047181939181429
42,0.35,3.0,10000,2,1,10000-0,15.927483466689488,5,Bernoulli,SNIPE(2),27.986605805048168,12.05912233835868,145.4224315715013,0.7571266586827076
43,0.35,3.0,10000,2,1,10000-0,15.927483466689488,5,Bernoulli,Lin's,3.7633685833770345,-12.164114883312454,147.96569089442357,-0.7637185691482469
44,0.35,3.0,10000,2,1,10000-0,15.927483466689488,5,Bernoulli,DM,4.721280555085283,-11.206202911604205,125.57898369604656,-0.7035764899734913
45,0.35,4.0,10000,2,1,10000-0,19.911183808805557,5,Bernoulli,Reg,15.50666874020816,-4.404515068597393,19.399752989501494,-0.2212080964593141
46,0.35,4.0,10000,2,1,10000-0,19.911183808805557,5,Bernoulli,VIM,15.902170360717736,-4.009013448087817,16.072188826948967,-0.2013448063452091
47,0.35,4.0,10000,2,1,10000-0,19.911183808805557,5,Bernoulli,SNIPE(2),35.07971937185751,15.168535563051954,230.08447112757185,0.7618098305307089
48,0.35,4.0,10000,2,1,10000-0,19.911183808805557,5,Bernoulli,Lin's,3.672160267806871,-16.239023540998684,263.70588556510944,-0.8155729813421295
49,0.35,4.0,10000,2,1,10000-0,19.911183808805557,5,Bernoulli,DM,4.827820028551304,-15.083363780254247,227.50786292748572,-0.7575322454501052
0,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,6,Bernoulli,Reg,2.696710674020835,-1.2524013167501682,1.5685090581975552,-0.3171349203762783
1,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,6,Bernoulli,VIM,2.7116207890570587,-1.2374912017139446,1.5313844743194227,-0.3133593589156086
2,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,6,Bernoulli,SNIPE(2),2.9491251964221665,-0.9999867943488367,0.9999735888720628,-0.2532181403530176
3,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,6,Bernoulli,Lin's,4.013347234668603,0.0642352438975999,0.0041261665585841,0.0162657438046113
4,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,6,Bernoulli,DM,4.043753447537551,0.0946414567665474,0.0089570053388942,0.0239652501594593
5,0.35,0.1,10000,2,1,10000-0,4.325014546846018,6,Bernoulli,Reg,3.171907933139281,-1.1531066137067365,1.3296548625742164,-0.2666133492077223
6,0.35,0.1,10000,2,1,10000-0,4.325014546846018,6,Bernoulli,VIM,3.1842900856767127,-1.140724461169305,1.3012522963100013,-0.2637504333947661
7,0.35,0.1,10000,2,1,10000-0,4.325014546846018,6,Bernoulli,SNIPE(2),3.449400807472579,-0.8756137393734389,0.7666994205795366,-0.2024533628475245
8,0.35,0.1,10000,2,1,10000-0,4.325014546846018,6,Bernoulli,Lin's,4.023592753658384,-0.3014217931876333,0.0908550974084483,-0.069692665752406
9,0.35,0.1,10000,2,1,10000-0,4.325014546846018,6,Bernoulli,DM,4.055428755554415,-0.2695857912916031,0.0726764988663197,-0.062331765216419
10,0.35,0.25,10000,2,1,10000-0,4.937901199331723,6,Bernoulli,Reg,3.6647053278454496,-1.2731958714862723,1.6210277271696885,-0.257841503928548
11,0.35,0.25,10000,2,1,10000-0,4.937901199331723,6,Bernoulli,VIM,3.6757961971295634,-1.2621050022021594,1.5929090365837126,-0.2555954344272761
12,0.35,0.25,10000,2,1,10000-0,4.937901199331723,6,Bernoulli,SNIPE(2),3.987329561656121,-0.9505716376756016,0.9035864383532756,-0.1925051958925886
13,0.35,0.25,10000,2,1,10000-0,4.937901199331723,6,Bernoulli,Lin's,4.0232714391738265,-0.9146297601578964,0.8365475981664909,-0.185226419735105
14,0.35,0.25,10000,2,1,10000-0,4.937901199331723,6,Bernoulli,DM,4.0572965770646885,-0.8806046222670343,0.7754645007580662,-0.1783358124674937
15,0.35,0.5,10000,2,1,10000-0,5.94778481398703,6,Bernoulli,Reg,4.442460550738096,-1.5053242632489343,2.266001137525948,-0.2530898999084429
16,0.35,0.5,10000,2,1,10000-0,5.94778481398703,6,Bernoulli,VIM,4.451503533776648,-1.4962812802103826,2.238857669508022,-0.2515695047829693
17,0.35,0.5,10000,2,1,10000-0,5.94778481398703,6,Bernoulli,SNIPE(2),4.8413133866919535,-1.1064714272950766,1.224279019420404,-0.186030843734134
18,0.35,0.5,10000,2,1,10000-0,5.94778481398703,6,Bernoulli,Lin's,4.015943883649623,-1.9318409303374076,3.732009380126899,-0.3248000710776252
19,0.35,0.5,10000,2,1,10000-0,5.94778481398703,6,Bernoulli,DM,4.053623639401757,-1.8941611745852729,3.587846555306261,-0.3184649804631286
20,0.35,0.75,10000,2,1,10000-0,6.951394484277087,6,Bernoulli,Reg,5.206398450667432,-1.744996033609655,3.045011157313428,-0.2510281983789798
21,0.35,0.75,10000,2,1,10000-0,6.951394484277087,6,Bernoulli,VIM,5.213412492985355,-1.7379819912917327,3.0205814020543764,-0.250019186110465
22,0.35,0.75,10000,2,1,10000-0,6.951394484277087,6,Bernoulli,SNIPE(2),5.681720658260168,-1.2696738260169198,1.6120716244724436,-0.1826502335450409
23,0.35,0.75,10000,2,1,10000-0,6.951394484277087,6,Bernoulli,Lin's,4.005720820317613,-2.9456736639594743,8.676993334544434,-0.4237529132639651
24,0.35,0.75,10000,2,1,10000-0,6.951394484277087,6,Bernoulli,DM,4.047062931605866,-2.9043315526712217,8.43514176784163,-0.4178056013423411
25,0.35,1.0,10000,2,1,10000-0,7.951966771086779,6,Bernoulli,Reg,5.964206945534312,-1.9877598255524669,3.951189124080373,-0.2499708415256372
26,0.35,1.0,10000,2,1,10000-0,7.951966771086779,6,Bernoulli,VIM,5.96921176583887,-1.9827550052479088,3.931317410835635,-0.2493414600847143
27,0.35,1.0,10000,2,1,10000-0,7.951966771086779,6,Bernoulli,SNIPE(2),6.516061813006645,-1.4359049580801342,2.061823048639112,-0.1805723036093487
28,0.35,1.0,10000,2,1,10000-0,7.951966771086779,6,Bernoulli,Lin's,3.994376531350047,-3.957590239736732,15.662520505659444,-0.4976869689806131
29,0.35,1.0,10000,2,1,10000-0,7.951966771086779,6,Bernoulli,DM,4.039384638032649,-3.91258213305413,15.308298947894404,-0.4920269721548906
30,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,6,Bernoulli,Reg,6.969159467067073,-2.314385764141446,5.356381465260584,-0.2492997778867031
31,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,6,Bernoulli,VIM,6.971508841459978,-2.312036389748541,5.345512267521468,-0.2490467092222658
32,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,6,Bernoulli,SNIPE(2),7.623093673137535,-1.6604515580709842,2.757099376700359,-0.1788596400100513
33,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,6,Bernoulli,Lin's,3.9785118003860815,-5.305033430822437,28.14337970214368,-0.5714447766127634
34,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,6,Bernoulli,DM,4.028410732742747,-5.255134498465772,27.6164385969651,-0.566069789890135
35,0.35,2.0,10000,2,1,10000-0,11.942614764512316,6,Bernoulli,Reg,8.968511884992328,-2.974102879519989,8.845287937969093,-0.2490328071502052
36,0.35,2.0,10000,2,1,10000-0,11.942614764512316,6,Bernoulli,VIM,8.965600436060823,-2.977014328451494,8.8626143118055,-0.249276593706911
37,0.35,2.0,10000,2,1,10000-0,11.942614764512316,6,Bernoulli,SNIPE(2),9.826645842659245,-2.1159689218530744,4.477324478248062,-0.1771780270549052
38,0.35,2.0,10000,2,1,10000-0,11.942614764512316,6,Bernoulli,Lin's,3.945961042494964,-7.996653722017354,63.946470749854,-0.6695898578073158
39,0.35,2.0,10000,2,1,10000-0,11.942614764512316,6,Bernoulli,DM,4.005646021150872,-7.936968743361445,62.99547283309656,-0.6645922103211671
40,0.35,3.0,10000,2,1,10000-0,15.927483466689488,6,Bernoulli,Reg,11.953978895820084,-3.973504570869404,15.788738574720044,-0.2494747258209079
41,0.35,3.0,10000,2,1,10000-0,15.927483466689488,6,Bernoulli,VIM,11.943238212231131,-3.9842452544583535,15.874210247673917,-0.250149074886246
42,0.35,3.0,10000,2,1,10000-0,15.927483466689488,6,Bernoulli,SNIPE(2),13.118434496541669,-2.8090489701478205,7.890756116688531,-0.1763648963141368
43,0.35,3.0,10000,2,1,10000-0,15.927483466689488,6,Bernoulli,Lin's,3.8969645879629713,-12.030518878726516,144.73338449139513,-0.7553308031295071
44,0.35,3.0,10000,2,1,10000-0,15.927483466689488,6,Bernoulli,DM,3.9713327564756433,-11.956150710213844,142.949539805347,-0.7506616305845658
45,0.35,4.0,10000,2,1,10000-0,19.911183808805557,6,Bernoulli,Reg,14.93126550301844,-4.979918305787114,24.7995863323136,-0.2501065910297502
46,0.35,4.0,10000,2,1,10000-0,19.911183808805557,6,Bernoulli,VIM,14.912727871672208,-4.998455937133347,24.98456175546361,-0.2510376070619579
47,0.35,4.0,10000,2,1,10000-0,19.911183808805557,6,Bernoulli,SNIPE(2),16.402040737352024,-3.509143071453529,12.31408509593031,-0.1762398009656081
48,0.35,4.0,10000,2,1,10000-0,19.911183808805557,6,Bernoulli,Lin's,3.8483670419396896,-16.062816766865865,258.0140824859072,-0.806723343077282
49,0.35,4.0,10000,2,1,10000-0,19.911183808805557,6,Bernoulli,DM,3.9374200904712993,-15.973763718334254,255.1611273291718,-0.8022508290677318
0,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,7,Bernoulli,Reg,4.363076649536621,0.413964658765618,0.1713667387069345,0.1048247453435216
1,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,7,Bernoulli,VIM,4.330373518282648,0.3812615275116444,0.1453603523605124,0.0965436099058839
2,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,7,Bernoulli,SNIPE(2),3.566589851308187,-0.3825221394628162,0.1463231871792102,-0.0968628239352955
3,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,7,Bernoulli,Lin's,3.985287466601963,0.0361754758309595,0.0013086650515963,0.0091604076854495
4,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,7,Bernoulli,DM,3.947477928568516,-0.0016340622024872,2.670159281597634e-06,-0.0004137796563647
5,0.35,0.1,10000,2,1,10000-0,4.325014546846018,7,Bernoulli,Reg,4.693544429009064,0.3685298821630463,0.1358142740471087,0.0852089347148655
6,0.35,0.1,10000,2,1,10000-0,4.325014546846018,7,Bernoulli,VIM,4.661438162693775,0.3364236158477576,0.1131808493000795,0.0777855455059895
7,0.35,0.1,10000,2,1,10000-0,4.325014546846018,7,Bernoulli,SNIPE(2),3.824496416740038,-0.5005181301059798,0.2505183985647865,-0.115726346046854
8,0.35,0.1,10000,2,1,10000-0,4.325014546846018,7,Bernoulli,Lin's,3.984689936063798,-0.3403246107822197,0.1158208407040693,-0.0786875066190005
9,0.35,0.1,10000,2,1,10000-0,4.325014546846018,7,Bernoulli,DM,3.945508925723801,-0.3795056211222167,0.1440245164633595,-0.0877466692913132
10,0.35,0.25,10000,2,1,10000-0,4.937901199331723,7,Bernoulli,Reg,5.348940440623933,0.4110392412922099,0.1689532578820755,0.0832416900823853
11,0.35,0.25,10000,2,1,10000-0,4.937901199331723,7,Bernoulli,VIM,5.316266994189377,0.378365794857654,0.1431606747182643,0.076624820866983
12,0.35,0.25,10000,2,1,10000-0,4.937901199331723,7,Bernoulli,SNIPE(2),4.358471608713742,-0.5794295906179805,0.3357386504837205,-0.11734329368445
13,0.35,0.25,10000,2,1,10000-0,4.937901199331723,7,Bernoulli,Lin's,3.9713668796710953,-0.9665343196606276,0.9341885910818322,-0.1957378814690408
14,0.35,0.25,10000,2,1,10000-0,4.937901199331723,7,Bernoulli,DM,3.929747296254659,-1.008153903077064,1.0163742922895178,-0.2041664793158485
15,0.35,0.5,10000,2,1,10000-0,5.94778481398703,7,Bernoulli,Reg,6.438722815905872,0.4909380019188418,0.2410201217280647,0.0825413187047947
