Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
21,0.35,2,9000,2,1,9000-0,8.842411976238425,3,Bernoulli,VIM,17.831190759645942,8.988778783407517,80.79814401703712,1.016552814725486
22,0.35,2,9000,2,1,9000-0,8.842411976238425,3,Bernoulli,SNIPE(2),4.2939286481211685,-4.548483328117257,20.68870058616064,-0.5143939617765003
23,0.35,2,9000,2,1,9000-0,8.842411976238425,3,Bernoulli,Lin's,3.827123783051427,-5.015288193186999,25.15311566072091,-0.5671855379125311
24,0.35,2,9000,2,1,9000-0,8.842411976238425,3,Bernoulli,DM,3.2409313489451828,-5.601480627293243,31.3765852179415,-0.6334788112503349
25,0.35,2,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,Reg,15.462398088782724,6.764230937401299,45.75482017449686,0.7776616406281659
26,0.35,2,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,VIM,18.813661122930444,10.11549397154902,102.32321828844456,1.1629454568417323
27,0.35,2,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,SNIPE(2),6.341640897697251,-2.356526253684174,5.553215984302767,-0.2709221624132522
28,0.35,2,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,Lin's,3.677956574601243,-5.0202105767801815,25.2025142352156,-0.577157289508156
29,0.35,2,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,DM,3.054899804596813,-5.643267346784612,31.84646634728543,-0.6487881008228682
0,0.35,2,5000,2,1,5000-0,8.537465563685846,4,Bernoulli,Reg,6.665619083144919,-1.8718464805409267,3.503809246713454,-0.2192508381530504
1,0.35,2,5000,2,1,5000-0,8.537465563685846,4,Bernoulli,VIM,8.200848577949865,-0.3366169857359811,0.1133109950859777,-0.0394282100729967
2,0.35,2,5000,2,1,5000-0,8.537465563685846,4,Bernoulli,SNIPE(2),-1.3943105358154444,-9.93177609950129,98.64017649062504,-1.163316680508341
3,0.35,2,5000,2,1,5000-0,8.537465563685846,4,Bernoulli,Lin's,3.645975353242407,-4.891490210443439,23.926676478864,-0.5729440633118824
4,0.35,2,5000,2,1,5000-0,8.537465563685846,4,Bernoulli,DM,2.9803831369708083,-5.557082426715038,30.881165097305093,-0.6509053987113127
5,0.35,2,6000,2,1,6000-0,8.692144171827673,4,Bernoulli,Reg,7.468048834902174,-1.2240953369254992,1.4984093938827514,-0.1408277765218098
6,0.35,2,6000,2,1,6000-0,8.692144171827673,4,Bernoulli,VIM,7.094455757296387,-1.5976884145312855,2.552608269927493,-0.1838083196674985
7,0.35,2,6000,2,1,6000-0,8.692144171827673,4,Bernoulli,SNIPE(2),5.788724419936393,-2.9034197518912794,8.429846255672418,-0.3340280251335023
8,0.35,2,6000,2,1,6000-0,8.692144171827673,4,Bernoulli,Lin's,3.975019145340048,-4.717125026487626,22.25126851551588,-0.5426883094940392
9,0.35,2,6000,2,1,6000-0,8.692144171827673,4,Bernoulli,DM,3.444999757473023,-5.24714441435465,27.5325245050932,-0.6036651383856818
10,0.35,2,7000,2,1,7000-0,8.683440796519088,4,Bernoulli,Reg,7.013894612064772,-1.6695461844543162,2.787384462025966,-0.192267814519284
11,0.35,2,7000,2,1,7000-0,8.683440796519088,4,Bernoulli,VIM,6.951094410552175,-1.7323463859669133,3.0010240009726257,-0.1994999939034944
12,0.35,2,7000,2,1,7000-0,8.683440796519088,4,Bernoulli,SNIPE(2),5.1374350555083845,-3.5460057410107035,12.57415671528087,-0.4083641293935214
13,0.35,2,7000,2,1,7000-0,8.683440796519088,4,Bernoulli,Lin's,4.109462854090279,-4.573977942428809,20.92127421782528,-0.5267471788674335
14,0.35,2,7000,2,1,7000-0,8.683440796519088,4,Bernoulli,DM,3.772936134910915,-4.910504661608173,24.1130560316756,-0.565502175540442
15,0.35,2,8000,2,1,8000-0,7.995753307269692,4,Bernoulli,Reg,7.594544544873781,-0.4012087623959113,0.1609684710232588,-0.0501777314754239
16,0.35,2,8000,2,1,8000-0,7.995753307269692,4,Bernoulli,VIM,8.142122263409824,0.1463689561401322,0.0214238713215519,0.0183058369255907
17,0.35,2,8000,2,1,8000-0,7.995753307269692,4,Bernoulli,SNIPE(2),5.781848874706084,-2.2139044325636084,4.901372836524793,-0.2768850347784916
18,0.35,2,8000,2,1,8000-0,7.995753307269692,4,Bernoulli,Lin's,3.664876522233825,-4.330876785035867,18.75649372716261,-0.5416471242425975
