Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
10,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,4,Bernoulli,Reg,3.642954965463861,0.2652311303830386,0.0703475525242644,0.0785236281392709
11,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,4,Bernoulli,VIM,3.376596027426098,-0.0011278076547247,1.2719501060557525e-06,-0.0003338957563704
12,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,4,Bernoulli,SNIPE(2),3.358172920931731,-0.0195509141490917,0.0003822382440651,-0.0057881920203295
13,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,4,Bernoulli,Lin's,3.3846002793590104,0.0068764442781876,4.728548591102004e-05,0.0020358219362901
14,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,4,Bernoulli,DM,3.204402532380302,-0.1733213027005207,0.0300402739698055,-0.0513130472362532
15,0.35,0.5,10000,2,1,10000-0,4.16657131668092,4,Bernoulli,Reg,4.801886939293289,0.6353156226123691,0.4036259403353421,0.1524792387613467
16,0.35,0.5,10000,2,1,10000-0,4.16657131668092,4,Bernoulli,VIM,4.505121521911356,0.3385502052304359,0.1146162414615702,0.0812539086694726
17,0.35,0.5,10000,2,1,10000-0,4.16657131668092,4,Bernoulli,SNIPE(2),4.479573253076555,0.3130019363956347,0.0979702121874169,0.0751221838307501
18,0.35,0.5,10000,2,1,10000-0,4.16657131668092,4,Bernoulli,Lin's,3.523251876653875,-0.643319440027045,0.4138599019167107,-0.1544001989001142
19,0.35,0.5,10000,2,1,10000-0,4.16657131668092,4,Bernoulli,DM,3.333900074417621,-0.8326712422632991,0.6933413976923058,-0.1998456714108527
20,0.35,0.75,10000,2,1,10000-0,4.945599748059879,4,Bernoulli,Reg,5.892826505352966,0.9472267572930876,0.8972385297319776,0.1915291987922551
21,0.35,0.75,10000,2,1,10000-0,4.945599748059879,4,Bernoulli,VIM,5.566450567745729,0.6208508196858507,0.3854557403045926,0.1255360019640501
